"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Gordon, Edward (Ted)","Business Development Bank of Canada","Govenor In Council Appointments","Gordon, Edward","Gordon, Edward","duplicate",
"Henrico, Pierre (Peter)","Laurentian Pilotage Authority","Govenor In Council Appointments","Henrico, Pierre","Henrico, Pierre","duplicate",
"Dhillon, Navjeet (Bob)","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Dhillon, Navjeet","Dhillon, Navjeet","duplicate",
"McEwan, Alexander (Sandy)","Canadian Nuclear Safety Commission","Govenor In Council Appointments","McEwan, Alexander","McEwan, Alexander","duplicate",
"Barone, Salvatore (Sam)","Canadian Transportation Agency","Govenor In Council Appointments","Barone, Salvatore","Barone, Salvatore","duplicate",
"Hungerford, George (Geordie) N.F.","First Nations Financial Management Board","Govenor In Council Appointments","Hungerford, George","Hungerford, George","duplicate",
"Jules, Clarence T. (Manny)","First Nations Tax Commission","Govenor In Council Appointments","Jules, Clarence","Jules, Clarence","duplicate",
"Mehta, Sudarshan A. (Raj)","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Mehta, Sudarshan","Mehta, Sudarshan","duplicate",
"Di Tomaso, Francesco (Frank)","Laurentian Pilotage Authority","Govenor In Council Appointments","Di Tomaso, Francesco","Di Tomaso, Francesco","duplicate",
"Gordon, Edward (Ted)","Business Development Bank of Canada","Govenor In Council Appointments","Gordon, Ted","Gordon, Ted","duplicate",
"Henrico, Pierre (Peter)","Laurentian Pilotage Authority","Govenor In Council Appointments","Henrico, Peter","Henrico, Peter","duplicate",
"Dhillon, Navjeet (Bob)","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Dhillon, Bob","Dhillon, Bob","duplicate",
"McEwan, Alexander (Sandy)","Canadian Nuclear Safety Commission","Govenor In Council Appointments","McEwan, Sandy","McEwan, Sandy","duplicate",
"Barone, Salvatore (Sam)","Canadian Transportation Agency","Govenor In Council Appointments","Barone, Sam","Barone, Sam","duplicate",
"Hungerford, George (Geordie) N.F.","First Nations Financial Management Board","Govenor In Council Appointments","Hungerford, Geordie","Hungerford, Geordie","duplicate",
"Jules, Clarence T. (Manny)","First Nations Tax Commission","Govenor In Council Appointments","Jules, Manny","Jules, Manny","duplicate",
"Mehta, Sudarshan A. (Raj)","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Mehta, Raj","Mehta, Raj","duplicate",
"Di Tomaso, Francesco (Frank)","Laurentian Pilotage Authority","Govenor In Council Appointments","Di Tomaso, Frank","Di Tomaso, Frank","duplicate",
"Jenkins, Paul Thomas (Tom)","National Research Council of Canada","Govenor In Council Appointments","Jenkins, Tom","Jenkins, Tom","duplicate",
"Barber, Garnet (Randy)","Social Security Tribunal","Govenor In Council Appointments","Barber, Garnet","Barber, Garnet","duplicate",
"Kluczewski, Chris (Krzysztof)","Oshawa Port Authority","Govenor In Council Appointments","Kluczewski, Chris","Kluczewski, Chris","duplicate",
"Cautillo, Michele (Michael)","Windsor-Detroit Bridge Authority","Govenor In Council Appointments","Cautillo, Michele","Cautillo, Michele","duplicate",
"Hewitt, Warren Edward (Ted)","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Hewitt, Warren","Hewitt, Warren","duplicate",
"Shaw, W.A. Sam","Standards Council of Canada","Govenor In Council Appointments","Shaw, Sam","Shaw, Sam","n",
"Smith, G. Patrick","Specific Claims Tribunal","Govenor In Council Appointments","Smith, Patrick","Smith, Patrick","n",
"Curry, G. Mark","Toronto Port Authority","Govenor In Council Appointments","Curry, Mark","Curry, Mark","n",
"Keefe, C. Michael","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Keefe, Michael","Keefe, Michael","n",
"Medve, K.M. Tracy","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Medve, Tracy","Medve, Tracy","n",
"Whalen, W. Lawrence","Specific Claims Tribunal","Govenor In Council Appointments","Whalen, Lawrence","Whalen, Lawrence","n",
"Machum, G. Grant","Telefilm Canada","Govenor In Council Appointments","Machum, Grant","Machum, Grant","n",
"Morley, B. Sean L.","Toronto Port Authority","Govenor In Council Appointments","Morley, Sean","Morley, Sean","n",
"Turner, T. Richard","Vancouver Fraser Port Authority","Govenor In Council Appointments","Turner, Richard","Turner, Richard","n",
"Fortier, L. Yves","Security Intelligence Review Committee","Govenor In Council Appointments","Fortier, Yves","Fortier, Yves","n",
"Shepherd, C. Scott M.","Ridley Terminals Inc.","Govenor In Council Appointments","Shepherd, Scott","Shepherd, Scott","n",
"Legh, James A.S.","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Legh, James","Legh, James","n",
"Currie, Mark F.G.","Parole Board of Canada","Govenor In Council Appointments","Currie, Mark","Currie, Mark","n",
"Popp, Alfred H.E.","Ship-source Oil Pollution Fund","Govenor In Council Appointments","Popp, Alfred","Popp, Alfred","n",
"Aust, William D.P.","Parole Board of Canada","Govenor In Council Appointments","Aust, William","Aust, William","n",
"Adams, Jeremy E.M.","Toronto Port Authority","Govenor In Council Appointments","Adams, Jeremy","Adams, Jeremy","n",
"Mackenzie, Ian F.A.","Parole Board of Canada","Govenor In Council Appointments","Mackenzie, Ian","Mackenzie, Ian","n",
"Gauthier, Mark A.M.","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Gauthier, Mark","Gauthier, Mark","n",
"Huberman, Anita A. Patil","National Film Board","Govenor In Council Appointments","Huberman, Anita","Huberman, Anita","n",
"Parkhouse, Owen J. W.","Veterans Review and Appeal Board","Govenor In Council Appointments","Parkhouse, Owen","Parkhouse, Owen","n",
"Armstrong, Peter R.B.","PPP Canada Inc.","Govenor In Council Appointments","Armstrong, Peter","Armstrong, Peter","n",
"Annis, Peter B.","Public Servants Disclosure Protection Tribunal","Govenor In Council Appointments","Annis, Peter","Annis, Peter","n",
"Baker, John A.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Baker, John","Baker, John","n",
"Beattie, Merri E.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Beattie, Merri","Beattie, Merri","n",
"Bell, John K.","Royal Canadian Mint","Govenor In Council Appointments","Bell, John","Bell, John","n",
"Bellemare, Dominique M.","Social Security Tribunal","Govenor In Council Appointments","Bellemare, Dominique","Bellemare, Dominique","n",
"Bennett, Claude F.","Royal Canadian Mint","Govenor In Council Appointments","Bennett, Claude","Bennett, Claude","n",
"Beresford, Aidan B.","Social Security Tribunal","Govenor In Council Appointments","Beresford, Aidan","Beresford, Aidan","n",
"Bertrand, Stephan J.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Bertrand, Stephan","Bertrand, Stephan","n",
"Brown, Robert L.","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Brown, Robert","Brown, Robert","n",
"Bruce, Howard M.","Parole Board of Canada","Govenor In Council Appointments","Bruce, Howard","Bruce, Howard","n",
"Caleffi, Vincent E.","Parole Board of Canada","Govenor In Council Appointments","Caleffi, Vincent","Caleffi, Vincent","n",
"Campbell, Diane O.","Tax Court of Canada-Judges","Govenor In Council Appointments","Campbell, Diane","Campbell, Diane","n",
"Chankasingh, Dev A.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Chankasingh, Dev","Chankasingh, Dev","n",
"Clark, Colin L.","Standards Council of Canada","Govenor In Council Appointments","Clark, Colin","Clark, Colin","n",
"Corcoran, Kevin P.","Parole Board of Canada","Govenor In Council Appointments","Corcoran, Kevin","Corcoran, Kevin","n",
"Crane, Mary G.","Parole Board of Canada","Govenor In Council Appointments","Crane, Mary","Crane, Mary","n",
"Crowley, Michael F.","Parole Board of Canada","Govenor In Council Appointments","Crowley, Michael","Crowley, Michael","n",
