OriginalName,Organizations,Type,CleanName,CleanNameNoMiddle,IsDuplicate
"Gordon, Edward (Ted)",Business Development Bank of Canada,Govenor In Council Appointments,"Gordon, Edward","Gordon, Edward",TRUE
"Henrico, Pierre (Peter)",Laurentian Pilotage Authority,Govenor In Council Appointments,"Henrico, Pierre","Henrico, Pierre",TRUE
"Dhillon, Navjeet (Bob)",Canada Mortgage and Housing Corporation,Govenor In Council Appointments,"Dhillon, Navjeet","Dhillon, Navjeet",TRUE
"McEwan, Alexander (Sandy)",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"McEwan, Alexander","McEwan, Alexander",TRUE
"Barone, Salvatore (Sam)",Canadian Transportation Agency,Govenor In Council Appointments,"Barone, Salvatore","Barone, Salvatore",TRUE
"Hungerford, George (Geordie) N.F.",First Nations Financial Management Board,Govenor In Council Appointments,"Hungerford, George","Hungerford, George",TRUE
"Jules, Clarence T. (Manny)",First Nations Tax Commission,Govenor In Council Appointments,"Jules, Clarence","Jules, Clarence",TRUE
"Mehta, Sudarshan A. (Raj)",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"Mehta, Sudarshan","Mehta, Sudarshan",TRUE
"Di Tomaso, Francesco (Frank)",Laurentian Pilotage Authority,Govenor In Council Appointments,"Di Tomaso, Francesco","Di Tomaso, Francesco",TRUE
"Gordon, Edward (Ted)",Business Development Bank of Canada,Govenor In Council Appointments,"Gordon, Ted","Gordon, Ted",TRUE
"Henrico, Pierre (Peter)",Laurentian Pilotage Authority,Govenor In Council Appointments,"Henrico, Peter","Henrico, Peter",TRUE
"Dhillon, Navjeet (Bob)",Canada Mortgage and Housing Corporation,Govenor In Council Appointments,"Dhillon, Bob","Dhillon, Bob",TRUE
"McEwan, Alexander (Sandy)",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"McEwan, Sandy","McEwan, Sandy",TRUE
"Barone, Salvatore (Sam)",Canadian Transportation Agency,Govenor In Council Appointments,"Barone, Sam","Barone, Sam",TRUE
"Hungerford, George (Geordie) N.F.",First Nations Financial Management Board,Govenor In Council Appointments,"Hungerford, Geordie","Hungerford, Geordie",TRUE
"Jules, Clarence T. (Manny)",First Nations Tax Commission,Govenor In Council Appointments,"Jules, Manny","Jules, Manny",TRUE
"Mehta, Sudarshan A. (Raj)",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"Mehta, Raj","Mehta, Raj",TRUE
"Di Tomaso, Francesco (Frank)",Laurentian Pilotage Authority,Govenor In Council Appointments,"Di Tomaso, Frank","Di Tomaso, Frank",TRUE
"Jenkins, Paul Thomas (Tom)",National Research Council of Canada,Govenor In Council Appointments,"Jenkins, Tom","Jenkins, Tom",TRUE
